view_cnt,where_cnt,attend_cnt,volunteer_cnt,history_cnt,festival_cnt,standard,block,expense,expense_f,difficulty,intention,history,history_f,festival,festival_f,sex,age,education,married,work,income,sido,disabled
12,10,0,0,0,0,1,1,14,14,3,2,2,5,2,5,1,5,4,3,1,5,1,1
18,10,0,0,0,0,3,2,14,14,2,2,2,5,2,5,2,3,4,3,1,2,1,1
25,10,0,0,0,0,3,2,14,14,6,2,2,4,2,5,1,3,4,1,1,3,1,1
22,12,0,0,0,0,1,1,14,14,3,2,2,4,2,5,2,5,4,2,5,5,1,1
16,15,0,0,0,0,1,3,14,14,3,2,2,4,2,3,2,6,2,2,5,2,1,1
28,15,0,0,0,3,3,2,14,14,1,2,2,5,1,5,2,3,4,2,5,4,1,1
44,10,0,0,0,0,1,1,14,14,3,2,2,6,2,6,2,4,4,2,5,4,1,1
5,3,3,0,0,0,2,8,14,1,2,2,2,5,2,5,2,4,3,3,1,2,1,1
30,10,0,0,2,0,2,2,14,14,6,2,1,5,2,6,1,1,3,1,5,5,1,1
6,0,0,0,2,2,2,1,14,11,2,2,1,5,1,4,2,3,4,2,1,7,1,1
9,2,2,0,0,0,3,1,14,14,2,1,2,5,2,4,1,3,4,1,3,4,1,1
49,2,2,0,1,1,4,4,14,14,6,1,1,6,1,7,1,2,3,1,1,5,1,1
16,2,2,0,2,1,2,1,14,14,1,1,1,6,1,6,2,2,4,2,1,3,1,1
10,0,0,0,0,4,3,2,14,14,2,2,2,5,1,5,1,3,4,2,1,5,1,1
8,6,0,0,0,0,4,2,14,14,3,2,2,5,2,5,2,4,4,2,5,5,1,1
20,16,3,0,0,0,3,3,14,14,3,1,2,4,2,5,2,3,4,1,1,3,1,1
15,41,3,0,2,2,5,4,14,14,2,1,1,7,1,6,2,4,4,2,1,5,1,1
10,5,5,0,1,0,7,3,14,14,6,1,1,6,2,5,1,1,2,1,5,5,1,1
16,52,50,1,4,5,2,1,14,14,6,1,1,7,1,7,2,5,3,2,1,2,1,1
39,6,1,0,2,3,3,8,14,14,2,2,1,6,1,6,2,3,3,1,1,5,1,1
20,3,0,0,3,1,2,1,14,14,1,1,1,6,1,6,2,3,4,2,5,4,1,1
24,18,7,0,0,1,1,2,14,14,3,1,2,4,1,6,2,2,4,1,1,2,1,1
29,13,13,0,1,0,1,6,12,12,3,1,1,5,2,5,1,3,4,1,1,6,1,1
8,0,0,0,2,1,3,1,7,7,2,1,1,4,1,4,2,4,4,2,1,7,1,1
6,3,3,0,2,0,1,6,8,16,2,2,1,7,2,6,1,4,4,2,2,7,1,1
3,0,0,0,3,2,3,2,17,7,2,2,1,6,1,6,1,6,3,2,2,4,1,1
9,0,0,0,4,3,3,6,14,14,4,2,1,4,1,5,2,6,3,3,1,3,1,1
0,0,0,0,5,2,2,2,17,4,2,2,1,5,1,4,1,6,3,3,1,4,1,1
10,20,12,0,0,0,1,6,17,11,3,1,2,4,2,6,2,7,2,3,3,2,1,1
0,0,0,0,0,0,3,2,17,9,3,2,2,6,2,6,2,6,3,2,1,4,1,1
6,14,13,0,4,3,2,1,15,16,1,1,1,6,1,6,2,6,2,2,1,4,1,1
4,0,0,0,1,2,3,4,14,14,1,2,1,5,1,5,2,5,3,2,1,7,1,1
22,2,0,0,0,2,3,2,14,11,1,2,2,4,1,4,1,6,3,3,1,2,1,1
9,2,1,0,0,0,7,1,14,14,1,1,2,5,2,5,1,3,4,1,1,3,1,1
8,0,0,0,3,2,3,1,14,15,2,2,1,5,1,5,1,2,4,1,1,7,1,1
11,0,0,0,2,3,3,1,14,14,2,2,1,4,1,5,1,5,4,2,1,7,1,1
14,0,0,0,3,2,3,1,7,15,2,2,1,4,1,5,1,2,3,1,5,7,1,1
12,0,0,0,0,1,1,3,14,14,4,2,2,5,1,5,1,3,4,1,1,3,1,1
14,2,2,0,0,0,1,5,14,14,1,1,2,5,2,5,2,4,3,2,5,4,1,1
12,1,1,0,1,0,3,2,14,11,2,2,1,5,2,6,1,2,4,1,1,4,1,1
10,1,1,0,3,3,2,1,7,5,1,1,1,5,1,5,1,2,4,1,1,3,1,1
22,2,0,0,1,1,7,3,14,9,8,1,1,6,1,5,1,2,4,1,1,6,1,1
22,2,0,0,1,1,7,3,14,9,8,1,1,6,1,4,1,2,4,1,1,6,1,1
28,16,3,0,2,3,9,1,7,12,1,1,1,4,1,5,2,2,4,1,1,7,1,1
17,0,0,0,3,3,3,2,14,14,2,2,1,4,1,5,1,3,4,2,1,7,1,1
17,0,0,0,3,4,3,1,12,12,2,2,1,4,1,4,1,4,4,2,1,7,1,1
7,0,0,0,2,2,2,2,14,4,2,1,1,5,1,4,1,4,4,2,1,6,1,1
14,10,0,0,0,0,4,2,14,14,3,2,2,3,2,4,1,2,4,1,5,5,1,1
5,3,3,0,1,2,5,2,14,12,2,1,1,4,1,6,1,3,4,3,1,4,1,1
8,0,0,0,0,1,1,2,7,9,2,1,2,5,1,6,2,6,3,3,3,2,1,1
4,0,0,0,0,0,9,8,17,1,2,2,2,6,2,6,2,5,3,2,1,7,1,1
7,3,3,0,0,0,2,1,1,14,2,1,2,4,2,4,1,3,4,2,1,5,1,1
7,3,3,0,0,0,2,1,1,14,2,1,2,4,2,4,1,4,4,1,1,4,1,1
58,0,0,0,0,0,3,9,14,14,3,2,2,5,2,6,2,3,4,1,1,2,1,1
15,6,1,0,0,1,2,1,14,15,3,1,2,4,1,6,1,3,4,1,1,5,1,1
10,0,0,0,3,3,3,2,13,13,2,1,1,5,1,4,2,3,4,1,1,5,1,1
12,4,4,0,2,1,2,2,17,14,3,1,1,6,1,6,2,6,3,2,1,3,1,1
9,0,0,0,2,3,3,2,17,14,2,2,1,6,1,6,1,5,3,1,1,5,1,1
10,2,2,1,2,7,3,3,17,11,2,1,1,6,1,6,1,7,2,2,1,2,1,1
0,0,0,0,0,0,2,1,17,4,1,2,2,4,2,4,2,7,2,3,5,1,1,1
0,0,0,0,1,0,3,2,17,9,2,2,1,5,2,4,1,7,2,2,2,4,1,1
0,3,3,0,3,2,3,3,17,11,5,1,1,6,1,6,1,7,3,2,1,2,1,1
14,9,2,0,1,1,3,2,14,14,1,1,1,6,1,6,1,3,4,2,1,3,1,1
12,2,1,0,0,2,2,1,7,14,1,1,2,4,1,6,1,5,4,2,1,6,1,1
6,2,2,0,0,0,2,1,14,10,1,2,2,6,2,4,2,3,3,3,1,2,1,1
5,4,4,0,0,1,2,1,12,12,1,1,2,5,1,5,2,5,4,2,1,4,1,1
20,4,3,0,1,3,2,3,14,1,3,1,1,5,1,4,2,5,3,2,1,6,1,1
6,2,1,0,2,1,3,2,14,14,2,2,1,5,1,6,1,4,4,2,3,4,1,1
12,3,3,0,1,2,5,2,14,12,2,1,1,4,1,5,2,4,3,2,1,6,1,1
6,1,0,0,2,3,1,2,14,13,8,2,1,4,1,5,2,4,3,2,5,6,1,1
14,0,0,2,0,0,2,1,14,12,2,1,2,4,2,4,2,2,4,1,1,3,1,1
9,4,4,0,0,2,2,1,12,14,1,1,2,5,1,6,1,6,4,2,1,4,1,1
5,1,1,0,1,1,1,4,14,14,2,1,1,6,1,6,1,5,4,2,1,5,1,1
14,0,0,0,3,2,3,1,14,11,1,2,1,5,1,5,1,3,4,1,1,4,1,1
10,13,13,0,5,2,1,1,14,9,6,1,1,7,1,6,1,3,4,2,1,4,1,1
22,5,2,0,2,3,5,2,12,1,1,1,1,6,1,5,1,5,4,2,1,5,1,1
16,0,0,0,2,0,2,2,14,14,2,1,1,6,2,6,2,5,3,2,1,4,1,1
12,1,0,0,1,1,4,3,14,14,3,2,1,6,1,6,1,4,3,1,1,3,1,1
15,3,0,1,2,3,1,2,12,12,2,2,1,5,1,6,2,3,3,2,1,4,1,1
6,0,0,0,1,1,6,2,17,11,2,2,1,6,1,6,1,5,4,2,1,7,1,1
2,7,0,0,0,0,9,7,17,14,6,1,2,4,2,4,2,6,3,2,5,3,1,1
35,0,0,0,2,3,1,2,8,5,2,2,1,6,1,6,2,5,3,2,1,7,1,1
6,0,0,0,1,0,1,3,7,12,2,2,1,5,2,5,1,5,3,2,3,7,1,3
