sex,education,income,married,work,age,exhibition_price,museum_price,art_price,traditional_price,theater_price,movie_price,performance_price,total_price
2,3,5,2,1,3,,,,,,30000.0,,30000
1,3,4,2,1,4,,,,,,0.0,,0
2,3,4,2,1,4,,,,,,30000.0,,30000
1,4,3,2,1,6,,,,,,,,0
2,4,3,2,6,6,,,100000.0,,,,,100000
1,4,4,2,1,4,,,,,,30000.0,,30000
2,4,4,2,1,4,,,50000.0,,150000.0,0.0,,200000
1,4,3,3,1,5,,,,,,,,0
1,4,3,1,6,2,,,,,100000.0,50000.0,,150000
1,4,3,2,1,3,,,,,,0.0,,0
2,3,3,2,6,3,,,,,,100000.0,,100000
1,4,3,2,1,3,,,,,100000.0,,100000.0,200000
2,3,3,2,6,3,,,,,0.0,30000.0,,30000
1,4,4,2,1,4,0.0,,,,,0.0,,0
2,4,4,2,1,4,50000.0,,,,,100000.0,,150000
1,4,3,2,1,5,,,,,,50000.0,,50000
2,4,3,2,6,5,,,,,,50000.0,,50000
1,4,3,3,1,5,,,,,,,,0
2,4,3,1,6,2,50000.0,,,,50000.0,50000.0,,150000
1,4,3,2,1,5,,,,,,,,0
2,3,3,2,6,5,50000.0,,30000.0,,,,,80000
1,4,4,2,1,7,,,,,,,,0
2,3,4,2,1,6,,,,,,,,0
1,4,6,2,2,4,0.0,,,,,70000.0,,70000
2,4,6,2,6,4,,,,,,100000.0,,100000
1,4,6,2,2,4,,10000.0,,,,40000.0,,50000
2,4,6,2,6,4,,,,,,90000.0,,90000
1,4,6,2,1,4,,0.0,,,120000.0,45000.0,,165000
2,4,6,2,1,3,,,,,,60000.0,,60000
1,4,6,2,3,7,,,,,,,,0
2,3,6,2,3,7,,,,,50000.0,100000.0,,150000
1,4,6,2,2,7,,,,,,,,0
2,4,6,2,6,7,,,,,,150000.0,,150000
1,4,4,2,1,5,,,,,,15000.0,,15000
2,4,4,2,6,5,,,,,,,,0
1,4,4,1,6,2,,0.0,,,,40000.0,300000.0,340000
1,4,5,2,1,4,,,,,,60000.0,,60000
2,4,5,2,1,4,0.0,,,,150000.0,200000.0,,350000
1,3,5,1,6,1,,,,,100000.0,100000.0,,200000
1,3,4,2,1,6,,,,,,,,0
2,3,4,2,6,6,,200000.0,,0.0,,,,200000
1,4,5,2,1,3,,,,,0.0,200000.0,450000.0,650000
2,4,5,2,1,2,150000.0,,,,500000.0,200000.0,,850000
1,4,5,2,1,4,,,,,,50000.0,,50000
2,4,5,2,6,4,,,,,,50000.0,,50000
1,4,5,2,1,4,,,,,,150000.0,,150000
2,4,5,2,6,4,,,,,,100000.0,,100000
1,4,4,2,1,3,,,,,,150000.0,,150000
2,4,4,2,6,3,,,,,,50000.0,,50000
1,4,5,2,1,3,,,,,,200000.0,,200000
2,4,5,2,6,3,0.0,0.0,,,,100000.0,,100000
1,4,4,1,1,3,,100000.0,,,,100000.0,,200000
2,4,4,1,1,2,,,,,,200000.0,500000.0,700000
1,4,3,2,1,3,,,,,300000.0,50000.0,100000.0,450000
2,4,3,2,6,3,,100000.0,,,,50000.0,,150000
1,4,5,2,1,3,,100000.0,,,,50000.0,500000.0,650000
2,4,5,2,1,2,0.0,20000.0,,,,200000.0,500000.0,720000
1,4,5,2,1,3,,,,,,300000.0,500000.0,800000
